EpicenterLon,EpicenterLat
25.7513,39.6978
27.2015,36.4761
38.6811,38.262
39.2098,38.4315
29.2456,37.8406
27.009,38.0826
34.4828,40.2385
36.6981,36.8753
40.8745,38.5655
36.3948,40.5601
28.101,36.83
31.1645,37.1471
26.9948,37.8396
38.7015,38.2261
43.2561,38.7615
27.6886,36.654
27.3946,40.346
31.5913,36.5526
27.1888,36.4381
27.2363,36.4468
27.2363,36.477
42.5141,38.2
42.5268,38.2473
27.1488,36.4115
27.1295,36.3726
27.048,36.3848
27.1653,36.4278
27.1633,36.4646
38.6951,38.2726
27.2236,36.432
27.1778,36.4246
27.1991,36.4671
28.7005,40.7365
27.2268,36.5213
27.1816,36.4636
27.1628,36.4786
27.2331,36.479
27.1945,36.4545
27.167,36.443
27.2483,36.5266
33.408,36.7971
39.264,38.507
27.1396,36.4673
26.7356,37.8296
27.1185,36.5053
27.1968,36.4865
27.2331,36.5425
27.0945,36.4433
27.1253,36.4583
30.0331,37.5808
27.178,36.4938
27.1148,36.4658
42.0508,38.6975
27.121,36.41
27.1515,36.4266
26.0281,38.925
33.7346,34.5963
27.1521,37.7996
27.1481,37.898
27.5806,35.9151
30.3,38.1261
39.0896,39.8156
30.1101,37.5653
28.7508,37.1326
44.6075,38.5515
43.6686,39.7195
45.1543,38.5063
40.473,39.04
35.0428,40.104
43.5501,38.857
38.745,38.3053
26.842,37.8431
41.0966,39.319
26.0311,38.923
37.3568,39.6523
27.9943,35.8495
26.0236,38.9421
31.6678,38.5881
25.531,38.4945
26.0291,38.953
25.1393,40.1433
30.0456,38.1878
44.3325,40.0573
33.564,41.3508
26.6453,37.9265
26.7783,38.849
26.7833,38.856
31.6495,38.59
31.6563,38.5855
31.6318,38.5965
26.4175,37.7655
36.074,39.1128
26.0606,38.933
44.4886,40.2113
26.0498,38.9453
26.1028,38.9136
26.0675,38.9601
35.8871,37.4963
36.0536,39.119
26.072,38.9841
26.07,38.96
26.1156,39.0033
26.0796,38.9583
25.9946,38.944
26.018,38.916
26.0788,38.9483
26.0155,38.935
26.0918,38.955
26.1185,38.985
26.0576,38.964
26.7138,37.8033
41.1041,36.156
41.1471,36.1478
42.6338,40.1841
26.751,35.818
44.4443,38.4033
41.419,38.5613
36.0731,39.1235
33.711,35.1145
28.2328,36.8253
26.7133,37.8221
26.7415,37.8616
26.7426,37.8558
26.7266,37.854
28.1055,36.0836
29.0896,37.038
39.1935,38.4941
25.7731,38.2411
27.0843,37.906
29.202,37.7028
33.323,40.0418
25.128,40.1573
41.1276,39.3183
44.581,38.567
39.0593,38.3411
39.2478,38.4733
26.6661,37.9353
27.8288,36.0181
26.7648,37.8321
28.7081,36.4833
26.4258,37.7836
39.1515,38.4166
28.7775,36.447
39.1813,38.5218
39.2091,38.487
42.9885,38.015
28.7085,36.5211
27.6055,37.8903
36.4963,35.876
27.095,37.9238
40.5451,39.4688
43.8736,37.9498
43.4876,38.9011
44.84,38.4998
28.1961,39.9901
26.9471,37.8406
31.8998,36.0878
26.814,37.802
26.8595,37.847
27.796,39.2621
41.712,37.9998
26.9485,37.8253
43.7606,37.73
40.1166,38.8386
41.4345,40.0038
38.6063,38.2083
40.9638,38.5741
31.0031,38.0113
26.6943,37.943
27.005,37.8488
38.6603,38.167
26.5316,37.8663
40.2066,39.4408
26.173,34.457
39.1433,38.3661
26.9543,37.844
27.1491,39.0033
26.973,37.872
26.6538,37.8955
40.7516,39.3793
26.0626,37.8083
26.8731,37.8768
26.913,37.8688
28.321,40.851
26.8633,37.5868
27.0506,37.7753
26.9846,37.713
26.9811,37.7353
27.0095,37.7151
26.4931,37.909
26.4403,37.8266
39.6388,38.6903
26.5003,37.9133
27.0573,37.7231
27.0416,37.7381
26.7275,37.8476
26.924,37.8818
27.3355,38.1496
27.7043,38.381
26.4701,37.8011
26.6921,37.8255
26.8416,37.8476
26.8586,37.8461
26.8618,37.8415
26.8181,37.8086
26.8628,37.8118
27.0101,37.8516
27.0018,37.8333
26.893,37.8415
26.4463,37.8798
26.4736,37.87
26.663,37.914
26.9473,37.8991
26.489,37.877
26.946,37.8863
26.743,37.8436
26.474,37.821
26.815,37.837
26.93,37.84
26.8303,37.8701
26.8176,37.8413
26.928,37.809
26.5091,37.8988
26.5336,37.9008
26.8466,37.8178
26.5616,37.9066
26.4825,37.8973
26.9225,37.8635
26.926,37.8713
27.0018,37.8398
26.4998,37.8885
26.5316,37.9156
26.4141,37.8768
26.404,37.8871
26.978,37.8205
26.5263,37.9091
26.858,37.8576
26.8733,37.8645
26.5116,37.841
26.9718,37.8663
26.926,37.9101
26.8193,37.8341
26.9218,37.844
26.5445,37.7995
26.8363,37.8325
26.4975,37.897
26.5013,37.8783
27.1293,37.925
26.547,37.9246
