Enlem,Boylam,Cluster
41.9913,38.691,0
41.981,38.7058,0
38.6281,38.1486,1
29.8453,38.9823,1
38.6635,38.1631,1
38.6646,38.1693,1
41.0421,39.3291,0
41.0105,39.3301,1
38.6863,38.1651,0
27.4096,40.6886,0
38.6501,38.1611,0
38.6886,38.1803,0
39.2878,38.4593,0
27.623,35.586,0
41.995,38.7575,0
27.796,39.6711,0
35.8801,39.0358,2
38.7075,38.1681,0
27.69,39.0668,2
28.229,36.6751,2
40.303,39.3678,2
37.8276,39.1256,0
35.6345,35.8801,1
33.5201,40.6546,1
44.077,39.8715,0
34.6595,40.1395,1
35.9166,37.4406,0
44.5863,37.2665,1
42.6135,38.1313,0
38.6841,38.1683,1
38.7626,38.2386,0
38.7788,38.2526,0
38.7796,38.2261,0
38.7243,38.2193,0
41.5875,40.2978,1
39.3016,38.4801,2
40.2811,39.3603,0
27.809,38.7778,2
25.0591,40.1883,0
30.4398,39.8478,0
42.5305,39.7711,2
38.7595,38.2475,0
36.3478,37.4005,0
40.5645,35.6721,0
26.6718,38.3818,2
26.69,38.3811,0
32.8825,40.7115,2
38.7641,38.2573,1
28.2688,40.8505,1
39.579,39.965,1
33.5741,38.7086,1
29.8186,38.9846,1
38.5706,38.1845,0
25.3028,38.824,0
40.6763,39.3798,1
28.875,36.2095,1
27.529,38.5235,0
45.894,34.6811,0
36.0168,36.9626,1
26.6538,35.5288,0
39.0661,38.3866,1
42.5351,38.8901,1
27.5291,38.5406,1
27.531,38.516,1
28.216,36.722,2
28.1901,36.5025,2
28.2098,36.7048,0
28.2256,36.6861,0
26.661,35.786,0
27.764,38.7606,2
27.8045,38.7233,2
27.8006,38.7711,2
27.8078,38.7378,2
27.8018,38.7676,0
33.2796,38.7948,2
44.0285,38.472,0
27.2221,36.0023,2
38.7598,38.3643,2
44.1435,38.3365,2
32.9776,40.7303,0
43.2425,39.8951,2
43.0528,40.0418,0
43.0118,40.0385,2
43.0485,40.0331,2
25.6195,40.79,2
38.728,38.2595,2
38.6763,37.5228,0
40.6721,39.3508,0
40.7266,39.3743,1
40.67,39.3715,0
40.7435,39.3678,0
40.7488,39.3668,0
40.739,39.3621,0
40.714,39.365,0
37.938,39.3323,0
31.1228,38.5788,1
36.244,36.8168,0
26.118,40.2805,1
27.3843,36.9466,1
34.8761,40.5228,0
36.0396,37.3425,0
28.4776,36.1175,1
35.2488,37.3571,2
27.7788,39.112,0
39.7718,39.9565,2
28.6611,36.0443,2
28.6588,36.4175,2
39.075,38.3715,2
37.7383,41.2771,2
35.2451,37.3813,2
39.9736,39.4226,0
36.6318,35.2913,0
30.5766,36.6435,2
29.8355,37.8293,2
27.9456,36.2351,2
25.794,38.811,0
41.5756,39.2191,2
28.5295,37.0016,2
38.7623,38.2746,1
36.0218,36.163,1
27.223,37.8315,1
27.1831,36.276,0
27.9963,39.4781,1
28.874,39.2131,1
28.8848,39.1886,1
26.127,39.5925,1
27.8996,39.4456,1
26.931,38.0333,1
40.759,39.698,1
39.0358,38.3463,0
27.8813,38.996,0
38.9135,38.2998,1
44.6408,38.555,0
44.6536,38.3803,1
43.0123,38.7358,1
42.7658,37.13,1
44.6745,38.4523,1
24.93,42.213,0
28.5398,36.9953,1
28.5181,36.9705,0
39.191,38.4078,0
44.4693,38.429,2
45.036,35.451,0
42.0278,41.4141,0
39.1368,38.3795,2
39.1928,38.4206,2
26.1516,39.5986,2
37.9308,38.0486,2
33.2838,40.1183,0
25.0596,34.7761,0
26.7581,37.4385,2
44.4056,38.384,2
27.9583,35.8783,0
44.5363,38.4163,2
44.5791,38.4425,0
28.163,34.83,2
33.731,34.5191,0
26.2005,35.3141,0
42.7455,38.0138,0
44.3716,38.4236,0
27.7898,39.1151,2
35.6466,35.9448,2
27.4938,34.3798,0
27.8291,39.1011,0
35.7601,38.9668,2
43.4685,37.5493,2
36.0506,40.863,2
38.914,38.3315,2
28.825,37.9496,2
27.8035,39.0958,2
40.883,38.5988,2
27.4401,35.6863,2
26.0313,38.941,0
27.8096,39.0911,0
39.0331,38.3561,2
44.0193,37.588,2
32.3955,40.2208,2
42.7015,38.3088,2
35.5858,35.9236,0
40.3413,35.584,0
35.5595,35.9926,2
35.6415,36.1953,2
35.6103,35.8305,0
35.6293,35.7781,0
43.3948,35.636,1
35.6373,36.0133,2
35.5588,35.8255,0
30.2958,37.14,2
42.5568,39.9883,1
35.4821,40.529,2
28.7815,41.4951,0
27.895,39.0048,2
26.6833,34.8533,2
27.8963,38.9871,2
44.3126,35.7516,1
27.8765,38.9975,1
40.8841,39.3083,0
25.9256,39.5413,1
44.3518,38.4255,0
39.0665,38.3643,1
43.5613,41.3253,1
26.33,35.2525,1
26.3028,35.3605,0
27.8406,38.9976,1
37.3535,40.8266,0
44.3326,38.3235,1
36.0135,37.4623,1
36.0108,37.4678,1
26.322,34.473,1
27.7866,36.9176,1
27.8653,38.9993,1
36.2765,37.3783,1
32.9628,40.5026,1
37.4168,37.6666,1
35.5168,35.9691,0
38.7776,38.267,1
44.448,38.504,0
43.2978,39.1671,1
43.2248,39.0711,1
43.496,39.2206,1
43.5291,38.9093,0
43.5668,38.8373,1
26.4633,34.4418,1
27.9901,34.5861,1
32.963,40.4946,1
32.963,40.4911,0
27.7085,38.7521,1
27.4381,40.7598,1
39.1415,38.3928,0
36.253,37.8533,2
27.511,36.9671,2
27.8191,39.0973,2
38.7838,38.2975,2
27.8595,39.0073,2
27.8338,39.0105,0
27.8858,38.997,2
38.7271,38.2826,2
38.705,38.286,0
26.755,38.4301,2
27.9905,35.3866,2
28.1363,35.804,2
28.0313,35.5446,2
28.7053,36.2315,2
39.172,38.4335,0
42.3501,40.721,2
44.2513,38.6256,2
44.693,38.4486,0
27.7978,39.1568,0
36.3163,37.1105,2
36.3326,37.1543,2
37.4765,37.7293,2
27.945,39.439,0
39.2191,38.4636,2
42.5651,42.4093,2
44.43,38.3158,2
39.0976,38.4093,2
26.3223,35.8903,0
38.925,38.3266,2
36.01,37.4693,2
36.917,40.5508,2
39.1518,38.3975,2
39.0395,38.4021,2
39.0956,38.4255,0
39.0883,38.3958,2
39.0998,38.3818,0
37.026,40.217,0
44.876,38.518,0
44.6118,38.5328,0
39.2176,38.4661,2
26.7331,35.091,0
27.3878,36.9605,2
27.385,36.9541,0
39.4433,38.4756,0
38.7555,38.271,2
39.4646,38.5136,2
36.0173,37.4501,0
37.0266,37.3931,2
44.4716,38.3855,2
31.1698,36.1743,0
27.879,36.926,2
35.992,37.4726,2
36.0245,37.4871,0
39.0605,38.4106,0
38.7838,38.3016,2
36.272,37.5796,2
35.9255,37.4066,2
27.315,36.9303,0
27.8971,38.9533,1
27.8556,38.9986,1
40.795,39.111,1
38.7871,38.3063,1
44.6645,38.4168,1
38.1833,38.7318,1
28.1513,35.7878,0
