Enlem,Boylam,Cluster
37.6621,26.0273,1
39.8328,29.139,0
37.4643,27.4743,0
38.3818,38.9621,0
35.5915,27.872,2
37.3223,29.3241,0
39.6991,28.4068,0
37.8503,27.0138,2
39.7625,26.8508,0
36.9331,29.3486,0
35.3705,30.9221,2
40.8128,28.8033,2
37.8216,26.9593,2
37.881,26.9011,1
37.8286,27.131,2
38.0075,26.8026,1
39.0336,27.602,0
36.384,31.967,2
38.5898,31.686,0
38.9015,43.6015,0
38.4763,34.1268,0
37.7623,26.4005,1
37.9033,27.0106,2
39.4293,26.235,1
35.3568,27.6625,2
40.1856,27.2386,0
37.9018,27.1953,2
40.4036,26.2051,2
38.2925,26.6605,0
38.2648,38.0835,0
39.613,41.2405,0
37.5678,29.4828,0
37.0111,29.7251,0
40.6081,35.3578,0
40.6086,35.3561,0
40.604,35.3436,0
40.8543,27.9881,2
40.5016,35.4381,0
36.9906,29.671,0
37.5678,36.3343,0
40.6096,35.3531,0
40.8013,28.1101,2
36.2116,27.1711,1
40.6126,35.3458,0
40.607,35.3565,0
38.1396,38.7655,0
36.2243,36.0085,0
39.7855,43.4093,0
37.0473,28.3783,0
39.7838,43.3948,0
36.04,29.0715,2
37.4983,37.06,0
40.5818,29.0931,0
39.8211,43.4123,0
37.845,26.727,1
36.8893,27.6463,2
35.834,29.3206,2
41.015,39.1281,0
40.4613,34.2216,0
39.8871,40.0548,0
39.9088,40.0466,0
38.6766,44.6835,0
40.4868,34.2503,0
36.9138,27.3075,1
38.6791,44.691,0
36.9145,27.3063,1
38.5843,44.5268,0
38.6101,44.4911,0
38.6733,44.6161,0
36.9235,27.3135,1
38.9748,32.93,0
37.853,26.8726,1
36.6311,27.8918,1
38.4943,29.1643,0
38.4811,29.144,0
37.4676,32.5071,0
40.6345,27.4111,2
40.909,31.6843,0
36.5761,28.0415,0
39.456,33.3933,0
37.532,30.2521,0
36.4483,28.7765,2
37.8543,29.2441,0
37.853,29.243,0
40.6515,42.5351,0
39.9365,27.2398,0
37.5408,32.6605,0
37.5313,32.6126,0
37.0986,38.7531,0
34.7803,26.2243,2
38.0338,25.8873,1
38.267,38.7706,0
37.8918,27.636,0
37.8801,27.6073,0
37.0615,28.3951,0
37.8636,32.0385,0
38.0551,38.3558,0
40.1673,31.6978,0
37.869,26.3781,1
37.8708,26.419,1
37.8673,26.4006,1
40.8288,39.2316,0
37.8918,35.1591,0
38.4905,26.688,2
37.4075,29.1611,0
36.069,28.4968,2
38.5051,26.6511,2
37.7808,26.19,1
38.2231,38.9503,0
36.9613,27.9688,2
37.0631,28.3655,0
37.0523,28.38,0
37.1333,28.6745,0
37.9231,27.0953,2
40.7933,31.9258,0
36.3356,29.4996,0
36.29,29.4731,0
36.298,29.455,0
34.8586,26.805,2
41.1258,43.7261,0
36.0421,29.7373,2
40.468,29.276,0
37.3623,28.0896,0
36.811,30.3816,0
37.5051,36.1813,0
37.0481,28.3643,0
38.7115,26.5561,1
36.4628,27.07,1
38.2708,38.8435,0
36.211,28.9028,2
36.946,27.7093,2
37.8331,35.1626,0
34.9788,26.0543,2
37.7713,26.8055,2
37.8668,32.0921,0
41.1596,43.8371,0
39.8153,41.8036,0
37.5661,30.4965,0
37.058,28.3606,0
39.8103,41.8063,0
37.3513,31.9035,0
38.645,26.6378,2
37.9083,27.145,2
36.5166,27.2356,1
36.5381,27.2221,1
36.717,23.7993,1
37.053,28.3775,0
36.707,33.7845,0
39.01,27.8968,0
38.9966,27.8981,0
40.6161,36.6878,0
38.2713,38.769,0
39.3085,26.1313,2
37.3913,26.7496,1
37.7398,26.1681,1
37.1321,27.6016,0
36.1448,27.6761,1
38.827,26.6258,1
37.0528,28.3873,0
37.0518,28.375,0
38.2778,38.729,0
38.2476,38.7515,0
37.7035,26.1075,1
37.8885,27.0758,2
36.5875,38.0708,0
37.8956,26.5383,1
37.64,27.0621,1
39.3156,27.702,0
38.8671,31.0366,0
