Enlem,Boylam,Cluster
40.0935,40.621,0
38.9646,26.0181,1
40.1595,31.7738,0
37.6838,25.9831,1
37.6428,26.0236,2
38.8446,43.7395,0
39.0478,40.239,0
37.8531,29.2768,2
40.744,38.3736,0
36.4663,27.2153,1
35.637,27.222,0
39.1455,29.0436,0
39.0318,42.0206,1
40.4016,34.894,1
38.9591,24.355,1
36.5115,27.1865,1
41.177,43.7803,0
40.7966,28.1275,2
36.647,27.4836,1
40.6021,27.7333,0
37.8865,26.8691,2
38.7445,41.8461,0
40.7516,32.8776,1
37.9948,38.173,0
40.6263,36.7245,0
38.664,43.1918,1
37.9601,27.0708,1
38.7135,43.1853,0
40.8865,41.8841,0
40.7866,31.047,0
37.2313,28.6735,1
35.433,26.4441,1
36.4815,27.1741,1
39.9213,41.5021,0
36.4728,28.7155,2
35.413,24.797,1
39.4491,28.2291,0
40.8653,31.6913,0
38.511,39.1355,0
38.0938,42.1501,0
38.934,43.4906,2
37.91,27.0825,0
40.8161,39.8581,0
40.2206,27.7043,1
37.7066,26.129,2
36.6746,28.4265,2
39.9075,27.2555,1
36.511,27.1481,1
37.9231,27.0953,2
37.2673,28.6883,2
38.1083,27.2095,1
37.9251,27.5896,1
38.7435,38.9518,2
43.8758,20.9556,2
39.8456,41.7951,0
40.113,28.6118,1
37.8981,29.1541,1
38.762,43.5028,0
40.7806,27.7276,1
38.978,27.6518,1
37.5051,36.1813,2
36.4371,27.194,1
36.384,31.967,2
37.5678,36.3343,0
40.7608,31.4941,1
37.6666,29.3733,1
38.7358,43.485,0
37.7796,26.8623,2
39.9436,41.8728,2
39.6186,42.7861,2
36.7081,27.4246,1
39.0846,35.348,0
36.5425,27.1693,1
38.2596,38.8051,0
38.9555,42.0133,1
39.9055,42.2315,0
38.01,27.1648,1
40.844,31.0316,0
38.5973,31.6328,2
37.3091,36.3873,0
40.1921,41.0573,0
39.0366,30.2318,1
38.7115,26.5561,2
37.1125,28.3961,0
34.8218,33.1121,0
38.9886,42.4246,0
39.868,39.0398,2
37.9366,27.1208,1
36.5545,27.1471,1
38.7901,26.514,0
42.3443,42.8603,0
38.7548,43.4268,0
37.7631,31.9226,1
39.2335,26.2466,2
38.8371,26.9371,2
39.4566,26.1895,1
36.477,27.21,1
38.8955,43.494,0
38.7631,38.1898,2
39.451,34.6888,0
37.9675,42.6808,1
38.9218,43.4906,2
37.8661,26.9446,1
38.4811,41.8343,0
39.563,25.917,1
38.835,27.0878,2
40.3575,33.9756,1
35.4873,26.6871,1
37.9251,27.1481,1
39.0851,37.3175,1
36.4715,28.7568,2
36.3083,27.0805,1
39.791,41.7751,0
41.5505,33.6206,2
37.3508,35.027,0
40.3301,42.186,0
37.6326,25.9153,2
38.9158,25.9706,1
36.5681,27.1696,1
39.9886,27.832,0
36.4928,27.205,1
40.8128,28.8033,2
38.9555,26.68,1
38.7371,25.5656,0
38.2611,38.8296,0
34.9888,26.0681,1
36.1336,27.6511,2
36.5568,27.2531,1
38.4675,31.7996,1
35.7456,25.7245,1
41.307,43.7895,0
35.251,26.6096,1
36.5593,27.2303,1
37.8458,27.0135,2
36.4235,27.184,2
40.9326,42.655,0
40.0745,40.9685,0
38.5991,31.6401,2
35.3836,25.2866,1
37.1946,28.6566,2
35.397,25.6626,1
36.3713,27.0108,2
40.2921,38.4303,0
39.8401,41.8266,0
39.2005,29.1666,1
38.8011,26.4081,2
38.236,38.7913,0
37.6996,26.011,1
38.616,31.052,2
38.8041,40.902,0
37.922,27.1418,1
37.4143,30.3421,1
38.2838,38.777,0
37.4243,35.8953,0
37.6583,26.0688,2
