EventID,Enlem,Boylam,Derinlik,Rms,Büyüklük,İl,Gün,Ay,Yıl,Saat,Dakika,Saniye
517941,37.9033,27.0106,6.51,0.4,1.7,70,21,12,2021,15,01,35
517940,39.4293,26.235,6.84,0.35,1.8,142,21,12,2021,14,25,16
517939,35.3568,27.6625,16.69,0.54,2.5,139,21,12,2021,13,52,36
517938,40.1856,27.2386,7.0,0.33,1.5,142,21,12,2021,13,32,30
517936,37.9018,27.1953,7.0,0.45,1.2,22,21,12,2021,13,06,28
517937,40.4036,26.2051,7.0,0.36,1.1,142,21,12,2021,12,31,37
517934,38.2925,26.6605,7.0,0.7,1.0,70,21,12,2021,12,08,50
517935,38.2648,38.0835,7.0,0.26,1.5,94,21,12,2021,12,05,38
517933,39.613,41.2405,7.0,0.32,1.9,51,21,12,2021,11,49,16
517930,37.5678,29.4828,2.45,0.42,1.8,41,21,12,2021,10,28,18
517931,37.0111,29.7251,7.0,0.17,1.1,34,21,12,2021,10,04,17
517928,40.6081,35.3578,6.99,0.47,1.1,144,21,12,2021,09,49,10
517929,40.6086,35.3561,7.0,0.54,1.0,144,21,12,2021,09,43,23
517927,40.604,35.3436,6.99,0.28,3.3,144,21,12,2021,08,58,11
517926,40.8543,27.9881,6.79,0.52,1.6,127,21,12,2021,08,42,56
517925,40.5016,35.4381,6.86,0.24,1.5,144,21,12,2021,08,34,38
517923,36.9906,29.671,7.0,0.29,1.6,34,21,12,2021,05,26,24
517922,37.5678,36.3343,13.03,0.56,1.6,71,21,12,2021,04,38,18
517920,40.6096,35.3531,6.98,0.22,2.0,144,21,12,2021,04,36,18
517921,40.8013,28.1101,7.0,0.59,1.8,127,21,12,2021,04,34,58
517918,36.2116,27.1711,7.64,0.41,1.5,100,21,12,2021,04,03,54
517919,40.6126,35.3458,7.2,0.25,1.8,144,21,12,2021,03,52,44
517924,40.607,35.3565,7.0,0.34,2.5,144,21,12,2021,03,28,45
517917,38.1396,38.7655,10.55,0.21,2.7,94,21,12,2021,03,11,45
517916,36.2243,36.0085,7.05,0.27,2.1,63,21,12,2021,02,30,47
517915,39.7855,43.4093,7.0,0.22,1.3,6,21,12,2021,02,28,03
517914,37.0473,28.3783,7.0,0.2,1.5,100,21,12,2021,02,20,20
517913,39.7838,43.3948,7.0,0.38,1.8,6,21,12,2021,01,49,05
517912,36.04,29.0715,6.55,0.36,2.0,15,21,12,2021,01,09,32
517911,37.4983,37.06,8.33,0.24,1.6,71,21,12,2021,01,00,48
517909,40.5818,29.0931,6.92,0.16,1.4,137,21,12,2021,00,29,04
517910,39.8211,43.4123,7.0,0.26,1.7,6,21,12,2021,00,20,52
517908,37.845,26.727,7.0,0.28,1.8,70,20,12,2021,23,33,04
517907,36.8893,27.6463,7.0,0.36,2.1,100,20,12,2021,23,11,11
517905,35.834,29.3206,13.91,0.27,1.9,15,20,12,2021,22,47,35
517906,41.015,39.1281,34.01,0.24,1.9,56,20,12,2021,22,38,27
517904,40.4613,34.2216,6.99,0.47,3.6,144,20,12,2021,22,21,29
517903,39.8871,40.0548,6.97,0.61,1.5,50,20,12,2021,21,26,23
517902,39.9088,40.0466,7.0,0.48,1.6,50,20,12,2021,21,18,46
517901,38.6766,44.6835,5.1,0.56,2.5,80,20,12,2021,21,07,32
517900,40.4868,34.2503,7.08,0.51,3.5,144,20,12,2021,20,49,09
517899,36.9138,27.3075,7.36,0.37,2.5,100,20,12,2021,20,16,47
517898,38.6791,44.691,6.55,0.77,2.3,80,20,12,2021,19,32,08
517897,36.9145,27.3063,5.89,0.39,2.6,100,20,12,2021,18,32,22
517896,38.5843,44.5268,7.03,0.57,2.2,80,20,12,2021,18,23,07
517894,38.6101,44.4911,12.27,0.72,2.6,80,20,12,2021,18,20,53
