@relation afad_deprem_listesi_-_Kopya_-_TR_2

@attribute Enlem numeric
@attribute Boylam numeric
@attribute Derinlik numeric
@attribute Büyüklük numeric

@data
38.9081,43.4908,6.46,1.6
36.8531,34.6535,5.11,1.4
38.9213,43.7631,16.27,1.8
39.5685,43.7216,7,1.3
38.9245,43.5101,13.44,2.1
38.9146,43.4795,7.56,1.6
38.8968,43.4626,7,1.2
40.7636,42.6503,27.08,1.1
38.9146,43.5836,17.3,1.3
39.9048,39.165,7,1.4
39.916,39.1381,6.99,1.5
39.9103,39.1665,6.99,1.6
38.908,43.5258,11.47,1.8
38.8925,43.515,11.35,3.3
38.6313,43.1748,7,2
38.8955,43.494,1.05,2.7
40.6848,30.3525,7.01,2.3
38.9123,43.6033,11.51,2.5
38.9148,43.5158,11.35,2.4
38.9013,43.5,9.64,1.8
37.4921,42.3755,7.14,1.3
38.9028,43.5103,10.66,2.9
39.4403,28.2175,7,2.3
38.893,43.5268,7.02,1.3
38.8993,43.4796,7.09,1.8
38.92,43.529,6.87,1.1
38.9018,43.4986,4.51,2.5
38.9123,43.5058,5.51,1.5
38.9026,43.4956,7.03,1.5
38.901,43.4913,6.96,2.4
38.9065,43.4855,7.62,4.9
39.1583,27.358,6.92,1.9
40.0428,28.8865,6,1.4
40.0333,28.8705,6.46,2.1
38.4205,27.711,7,1.8
37.9193,28.7136,7,1.6
38.1428,42.498,7.13,2.1
39.9051,39.1473,7,2
39.9348,39.153,10.92,2.3
39.9296,39.1293,7,3.2
37.9143,33.0815,6.99,2.6
38.1688,34.1393,7,1.5
37.1361,28.5098,7.03,1.8
39.9281,39.1341,7.02,1.5
39.9226,39.1365,6.85,3.5
37.2896,31.8706,7.22,2
37.8755,29.3831,8.55,2.3
38.8593,35.0906,7,1.2
38.6885,43.196,7,2
37.4728,38.647,7,1.5
39.8013,41.8583,7,1.5
37.7311,27.6811,7,1.4
40.6218,42.5518,7.03,1.5
38.835,27.0878,10.83,1.5
37.4831,35.9946,7.01,1.5
38.6995,43.2213,7,1.7
37.8965,34.0111,7.11,1.6
39.9333,26.8435,6.98,1.5
41.114,34.1826,7,1.3
38.6943,43.4946,23.02,3.5
39.8736,39.0136,7.06,1.3
39.1055,29.0675,12.02,1.1
39.5231,28.8546,7,1.3
38.6735,31.6265,7,1.2
40.1616,40.7183,7,1
40.2238,32.3798,7,1.3
38.2341,38.8131,6.98,1
37.4113,30.4003,7.05,1.5
37.897,26.9651,7.83,1.7
40.4038,27.7456,7,1.6
37.3755,35.0291,15,2
41.403,42.1621,7.09,1.5
37.8793,29.3505,7,1.3
38.884,29.1898,7.01,1.7
39.5446,26.1898,7.3,1.7
38.5718,30.3675,6.99,1.5
38.5728,30.3778,7.01,1.6
39.995,34.3858,7,1
37.931,28.701,10.35,3
37.9498,28.7086,11.31,2
38.7341,43.4541,7.03,2
