Enlem,Boylam,Derinlik,Büyüklük,Gün,Ay,Yıl,Saat,Dakika,Saniye
37.0615,28.3951,7.01,2.4,20,12,2021,6,46,19
37.8636,32.0385,7,1.5,20,12,2021,6,30,56
38.0551,38.3558,8.63,1.6,20,12,2021,6,29,57
40.1673,31.6978,7.05,1.7,20,12,2021,5,59,30
37.869,26.3781,6.48,1.7,20,12,2021,2,17,10
37.8708,26.419,6.54,2.2,20,12,2021,2,12,58
37.8673,26.4006,8.38,2.6,20,12,2021,2,7,46
40.8288,39.2316,7.96,2.1,19,12,2021,23,5,29
37.8918,35.1591,7.01,2.6,19,12,2021,20,33,8
38.4905,26.688,7.01,1.9,19,12,2021,18,37,35
37.4075,29.1611,7,1.4,19,12,2021,18,34,29
36.069,28.4968,41.17,2.4,19,12,2021,18,32,12
38.5051,26.6511,9.81,1.8,19,12,2021,17,45,27
37.7808,26.19,5.88,2,19,12,2021,17,42,13
38.2231,38.9503,8.17,2.1,19,12,2021,17,29,10
36.9613,27.9688,7,1.6,19,12,2021,17,7,41
37.0631,28.3655,7,1.6,19,12,2021,15,49,52
37.0523,28.38,7,1.3,19,12,2021,15,42,11
37.1333,28.6745,6.95,1.4,19,12,2021,15,34,40
37.9231,27.0953,7,1.7,19,12,2021,13,0,32
40.7933,31.9258,10.18,2.4,19,12,2021,12,17,8
36.3356,29.4996,7,1.2,19,12,2021,11,35,31
36.29,29.4731,7.7,1.5,19,12,2021,11,34,53
36.298,29.455,6.86,1.9,19,12,2021,11,34,11
34.8586,26.805,5.96,3.5,19,12,2021,10,23,45
41.1258,43.7261,5.43,1.6,19,12,2021,10,9,0
36.0421,29.7373,7.19,1.8,19,12,2021,10,7,44
40.468,29.276,7.32,1.7,19,12,2021,6,58,31
37.3623,28.0896,7,1.9,19,12,2021,2,36,51
36.811,30.3816,21.32,2.5,19,12,2021,2,33,33
37.5051,36.1813,15.93,2.4,19,12,2021,2,33,32
37.0481,28.3643,7,1.6,19,12,2021,2,29,22
38.7115,26.5561,6.91,1.8,19,12,2021,1,13,31
36.4628,27.07,7.17,2.1,19,12,2021,0,43,33
38.2708,38.8435,4.91,1.8,18,12,2021,23,0,43
36.211,28.9028,17.46,3,18,12,2021,22,27,57
36.946,27.7093,7.06,1.4,18,12,2021,21,26,37
37.8331,35.1626,7,1.4,18,12,2021,20,35,31
34.9788,26.0543,7.32,2.8,18,12,2021,20,24,49
37.7713,26.8055,7.05,1.7,18,12,2021,19,23,36
37.8668,32.0921,7.04,1.5,18,12,2021,18,27,1
41.1596,43.8371,7.02,1.9,18,12,2021,18,19,10
39.8153,41.8036,6.95,1.9,18,12,2021,17,19,5
37.5661,30.4965,6.69,1.4,18,12,2021,15,30,53
37.058,28.3606,7,1,18,12,2021,14,45,2
39.8103,41.8063,7,1.6,18,12,2021,13,55,16
37.3513,31.9035,7.03,1.9,18,12,2021,12,29,45
38.645,26.6378,7,3.1,18,12,2021,12,19,7
37.9083,27.145,7,3.3,18,12,2021,10,53,20
36.5166,27.2356,7.04,3.2,18,12,2021,9,45,13
36.5381,27.2221,6.41,2.4,18,12,2021,9,43,48
36.717,23.7993,3.25,4.5,18,12,2021,8,16,44
37.053,28.3775,6.91,1.8,18,12,2021,7,55,43
36.707,33.7845,18.9,2.3,18,12,2021,7,32,38
39.01,27.8968,7.01,3.1,18,12,2021,6,24,2
38.9966,27.8981,10.42,3.4,18,12,2021,6,21,35
40.6161,36.6878,6.83,2,18,12,2021,6,9,29
38.2713,38.769,6.95,2,18,12,2021,5,55,36
39.3085,26.1313,7.05,2.4,18,12,2021,5,53,2
37.3913,26.7496,7.07,1.7,18,12,2021,5,34,2
37.7398,26.1681,7.02,1.7,18,12,2021,3,42,58
37.1321,27.6016,6.96,1.4,18,12,2021,3,39,30
36.1448,27.6761,26.92,3.9,18,12,2021,2,37,41
38.827,26.6258,7.01,1.7,18,12,2021,1,41,33
37.0528,28.3873,6.87,1.7,18,12,2021,0,52,49
37.0518,28.375,4.52,3,18,12,2021,0,44,23
38.2778,38.729,7,1.5,17,12,2021,23,1,5
38.2476,38.7515,7,1.3,17,12,2021,23,0,2
37.7035,26.1075,7.01,1.8,17,12,2021,22,2,17
